,month_year,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11
1989-12,307,205,241,269,211,214,257,213,188,256,211,228
1990-01,174,307,205,241,269,211,214,257,213,188,256,211
1990-02,166,174,307,205,241,269,211,214,257,213,188,256
1990-03,221,166,174,307,205,241,269,211,214,257,213,188
1990-04,175,221,166,174,307,205,241,269,211,214,257,213
1990-05,186,175,221,166,174,307,205,241,269,211,214,257
1990-06,221,186,175,221,166,174,307,205,241,269,211,214
1990-07,205,221,186,175,221,166,174,307,205,241,269,211
1990-08,189,205,221,186,175,221,166,174,307,205,241,269
1990-09,233,189,205,221,186,175,221,166,174,307,205,241
1990-10,167,233,189,205,221,186,175,221,166,174,307,205
1990-11,171,167,233,189,205,221,186,175,221,166,174,307
1990-12,223,171,167,233,189,205,221,186,175,221,166,174
1991-01,171,223,171,167,233,189,205,221,186,175,221,166
1991-02,153,171,223,171,167,233,189,205,221,186,175,221
1991-03,205,153,171,223,171,167,233,189,205,221,186,175
1991-04,179,205,153,171,223,171,167,233,189,205,221,186
1991-05,160,179,205,153,171,223,171,167,233,189,205,221
1991-06,150,160,179,205,153,171,223,171,167,233,189,205
1991-07,187,150,160,179,205,153,171,223,171,167,233,189
1991-08,194,187,150,160,179,205,153,171,223,171,167,233
1991-09,181,194,187,150,160,179,205,153,171,223,171,167
1991-10,177,181,194,187,150,160,179,205,153,171,223,171
1991-11,166,177,181,194,187,150,160,179,205,153,171,223
1991-12,190,166,177,181,194,187,150,160,179,205,153,171
1992-01,175,190,166,177,181,194,187,150,160,179,205,153
1992-02,148,175,190,166,177,181,194,187,150,160,179,205
1992-03,161,148,175,190,166,177,181,194,187,150,160,179
1992-04,185,161,148,175,190,166,177,181,194,187,150,160
1992-05,152,185,161,148,175,190,166,177,181,194,187,150
1992-06,168,152,185,161,148,175,190,166,177,181,194,187
1992-07,159,168,152,185,161,148,175,190,166,177,181,194
1992-08,157,159,168,152,185,161,148,175,190,166,177,181
1992-09,148,157,159,168,152,185,161,148,175,190,166,177
1992-10,193,148,157,159,168,152,185,161,148,175,190,166
1992-11,151,193,148,157,159,168,152,185,161,148,175,190
1992-12,177,151,193,148,157,159,168,152,185,161,148,175
1993-01,137,177,151,193,148,157,159,168,152,185,161,148
1993-02,136,137,177,151,193,148,157,159,168,152,185,161
1993-03,158,136,137,177,151,193,148,157,159,168,152,185
1993-04,162,158,136,137,177,151,193,148,157,159,168,152
1993-05,150,162,158,136,137,177,151,193,148,157,159,168
1993-06,146,150,162,158,136,137,177,151,193,148,157,159
1993-07,148,146,150,162,158,136,137,177,151,193,148,157
1993-08,185,148,146,150,162,158,136,137,177,151,193,148
1993-09,158,185,148,146,150,162,158,136,137,177,151,193
1993-10,207,158,185,148,146,150,162,158,136,137,177,151
1993-11,170,207,158,185,148,146,150,162,158,136,137,177
1993-12,196,170,207,158,185,148,146,150,162,158,136,137
1994-01,158,196,170,207,158,185,148,146,150,162,158,136
1994-02,131,158,196,170,207,158,185,148,146,150,162,158
1994-03,185,131,158,196,170,207,158,185,148,146,150,162
1994-04,152,185,131,158,196,170,207,158,185,148,146,150
1994-05,146,152,185,131,158,196,170,207,158,185,148,146
1994-06,158,146,152,185,131,158,196,170,207,158,185,148
1994-07,158,158,146,152,185,131,158,196,170,207,158,185
1994-08,147,158,158,146,152,185,131,158,196,170,207,158
1994-09,141,147,158,158,146,152,185,131,158,196,170,207
1994-10,199,141,147,158,158,146,152,185,131,158,196,170
1994-11,184,199,141,147,158,158,146,152,185,131,158,196
1994-12,169,184,199,141,147,158,158,146,152,185,131,158
1995-01,160,169,184,199,141,147,158,158,146,152,185,131
1995-02,156,160,169,184,199,141,147,158,158,146,152,185
1995-03,161,156,160,169,184,199,141,147,158,158,146,152
1995-04,150,161,156,160,169,184,199,141,147,158,158,146
1995-05,172,150,161,156,160,169,184,199,141,147,158,158
1995-06,187,172,150,161,156,160,169,184,199,141,147,158
1995-07,155,187,172,150,161,156,160,169,184,199,141,147
1995-08,167,155,187,172,150,161,156,160,169,184,199,141
1995-09,166,167,155,187,172,150,161,156,160,169,184,199
1995-10,187,166,167,155,187,172,150,161,156,160,169,184
1995-11,175,187,166,167,155,187,172,150,161,156,160,169
1995-12,181,175,187,166,167,155,187,172,150,161,156,160
1996-01,142,181,175,187,166,167,155,187,172,150,161,156
1996-02,170,142,181,175,187,166,167,155,187,172,150,161
1996-03,161,170,142,181,175,187,166,167,155,187,172,150
1996-04,168,161,170,142,181,175,187,166,167,155,187,172
1996-05,154,168,161,170,142,181,175,187,166,167,155,187
1996-06,160,154,168,161,170,142,181,175,187,166,167,155
1996-07,153,160,154,168,161,170,142,181,175,187,166,167
1996-08,199,153,160,154,168,161,170,142,181,175,187,166
1996-09,178,199,153,160,154,168,161,170,142,181,175,187
1996-10,148,178,199,153,160,154,168,161,170,142,181,175
1996-11,171,148,178,199,153,160,154,168,161,170,142,181
1996-12,166,171,148,178,199,153,160,154,168,161,170,142
1997-01,171,166,171,148,178,199,153,160,154,168,161,170
1997-02,135,171,166,171,148,178,199,153,160,154,168,161
1997-03,140,135,171,166,171,148,178,199,153,160,154,168
1997-04,134,140,135,171,166,171,148,178,199,153,160,154
1997-05,164,134,140,135,171,166,171,148,178,199,153,160
1997-06,114,164,134,140,135,171,166,171,148,178,199,153
1997-07,155,114,164,134,140,135,171,166,171,148,178,199
1997-08,158,155,114,164,134,140,135,171,166,171,148,178
1997-09,127,158,155,114,164,134,140,135,171,166,171,148
1997-10,149,127,158,155,114,164,134,140,135,171,166,171
1997-11,161,149,127,158,155,114,164,134,140,135,171,166
1997-12,159,161,149,127,158,155,114,164,134,140,135,171
1998-01,133,159,161,149,127,158,155,114,164,134,140,135
1998-02,138,133,159,161,149,127,158,155,114,164,134,140
1998-03,156,138,133,159,161,149,127,158,155,114,164,134
1998-04,149,156,138,133,159,161,149,127,158,155,114,164
1998-05,148,149,156,138,133,159,161,149,127,158,155,114
1998-06,134,148,149,156,138,133,159,161,149,127,158,155
1998-07,156,134,148,149,156,138,133,159,161,149,127,158
1998-08,139,156,134,148,149,156,138,133,159,161,149,127
1998-09,142,139,156,134,148,149,156,138,133,159,161,149
1998-10,150,142,139,156,134,148,149,156,138,133,159,161
1998-11,153,150,142,139,156,134,148,149,156,138,133,159
1998-12,157,153,150,142,139,156,134,148,149,156,138,133
1999-01,153,157,153,150,142,139,156,134,148,149,156,138
1999-02,126,153,157,153,150,142,139,156,134,148,149,156
1999-03,155,126,153,157,153,150,142,139,156,134,148,149
1999-04,154,155,126,153,157,153,150,142,139,156,134,148
1999-05,157,154,155,126,153,157,153,150,142,139,156,134
1999-06,132,157,154,155,126,153,157,153,150,142,139,156
1999-07,138,132,157,154,155,126,153,157,153,150,142,139
1999-08,135,138,132,157,154,155,126,153,157,153,150,142
1999-09,157,135,138,132,157,154,155,126,153,157,153,150
1999-10,154,157,135,138,132,157,154,155,126,153,157,153
1999-11,154,154,157,135,138,132,157,154,155,126,153,157
1999-12,149,154,154,157,135,138,132,157,154,155,126,153
2000-01,146,149,154,154,157,135,138,132,157,154,155,126
2000-02,125,146,149,154,154,157,135,138,132,157,154,155
2000-03,167,125,146,149,154,154,157,135,138,132,157,154
2000-04,147,167,125,146,149,154,154,157,135,138,132,157
2000-05,165,147,167,125,146,149,154,154,157,135,138,132
