,name,date,location,star_ratings,reviews
0,Saif A.,2/13/2019,"Vancouver, Canada",5 star rating,The taste was amazing and the bun was spectacular.I am definitely coming back.Last call is 2:30pm
1,Katerina K.,1/20/2020,"Foster City, CA",4 star rating,"Cute place  for breakfast or brunch.Note 1: the corner table outside might get a wif of the garbage cans around the corner, depending on wind direction. Note 2: there is another  place with 'Hardware' in the name. Make sure you're in the e right one  (we missed the first time). Coffe super tasty! Grilled mushroooms and Crab Benedict awesome too. Additional plus is butter and jams on all the tables  to finish up your meal with."
2,David L.,10/29/2019,"Garden Grove, CA",3 star rating,"We came here at about 11:30am on Wednesday and was quickly seated. This place was recommended by several people. It had a very hip vibe and the decor mirrored the vibe. We ordered the lobster benedict, iced latte and green tea latte. Lobster benedict - The flavors went well with each other and the bun dipped in the oozing egg yolk was delicious. I did feel like it was a little short on the lobster since I forgot it was a lobster benedict until I had a bite of the lobster after eating almost half of it.Green Tea Latte - this drink was good. The foam really tasted like matcha while the latte itself was semi sweet. Iced latte - nothing special above your average iced latte. It was good."
3,Leah M.,12/28/2018,"Los Angeles, CA",5 star rating,"Quite possibly the best breakfast I've ever had in the city of Melbourne! Tucked away on Hardware Lane you may have to wait a little while to get a table here. Definitely sit outside if the weather permits as you can do some people watching. The coffee here is wonderful so make sure to grab and cup while you peruse the extensive menu available to you! I ordered the Pork Belly and my friend had the Baked Eggs with Chorizo and omigod we died and went to heaven! Highly recommend the Baked Eggs in particular, so much flavor and very filling!Try and make a stop here if you have the chance!"
4,Zeny M.,6/20/2019,"Markham, Canada",5 star rating,"Walked 25 minutes to have breakfast here and got there with the long line up. They took our names and asked to wait on the other side of the street so we won't get wet. It started to rain but got in pretty fast. Got a compliment for the Raptors hats my hubby and son wearing. All the waiters are Raptors fan in Melbourne!  Wow!  Well, we ordered our breakfast and they were just beautifully plated. Quite expensive but worth it. We had the pork belly breakfast $26, lobster Benedict $26, plate of bread with preserves, seared tuna and cappuccino. Truly enjoyable!Highly recommended!"
5,Khaled A.,4/07/2018,"Broomfield, CO",5 star rating,"I'm giving this place a full score due to both restaurant presentation of their food and the taste!!!!First the long black was really good even though I usually find all black coffees taste the same, but here it was different, good different.Next the lobster benedict was amazing! The bun, the hollandaise and the eggs were all greatly combined together.The mocha was also good but from the reviews I read thought it would be better."
6,Stephen H.,12/19/2019,"Paris, France",4 star rating,"This is the original location of the branch in Paris I have come to know and enjoy.  I decided to try something different from what I would normally see in Paris and got the ""Roasted Mushrooms"" (which had roasted mushrooms, poached eggs, toast, goat cheese and hazelnuts and some drizzled pesto) and it ended up being a bit like dinner for breakfast.  Some heavy, earthy flavors that somewhat successfully worked together but might benefit from some editing.  It's a really wonderful space with an open kitchen right next to the large communal table.  They also have excellent coffee."
7,David F.,1/14/2020,"Dublin, Republic of Ireland",4 star rating,"The fact that the manager was Irish in no way influenced my very positive view of Hardware Societe. No way. Came here on a warm Wednesday morning for brunch. Tiny place, long communal table, plenty of young people both locals and visitors like us. We were seated after a very short wait. My female companions shared French toast and I opted for the croque Madame. Both excellent and enough to feed 4 people to be honest. Iced lattes and regular lattes were also excellent. Recommended."
8,Hirari H.,1/08/2020,"San Ramon, CA",5 star rating,"This place is rated as the best brunch place on many tourist guides, so I gave it a shot. I ordered what it's known for: the lobster benedict. Oh yes, it was so soft and fresh but also..so cold. Would order again? ...Maybe not. There actually were a lot of other options I was tempted to get instead of the benedict, but given the short amount of time I was in town I just went with the standard. I also absolutely loved the green tea latte. It's very strong for the matcha lovers. There's always a long line, so plan ahead!"
9,Ashlyn H.,1/31/2020,"Manhattan, New York, NY",5 star rating,"Always love a good cup of coffee, with my usual baked eggs with chorizo! But today, I decided to try the roasted mushrooms and it was amazing !"
